bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
989640,724893,2018-03-20,Senate,"Reconsideration - Veto RC #538",32,2,0,1,35
989640,726923,2018-03-22,House,"Reconsideration - Veto RC #528",135,11,0,5,151
989774,661247,2017-06-08,Senate,"Accept Min Otp-a Rpt RC #260",18,16,0,1,35
989827,649281,2017-05-24,House,"Acc Maj Otp As Amended Rep RC #151",119,26,0,6,151
989897,734840,2018-04-02,Senate,"Accept Maj Ontp Rpt RC #571",13,19,0,3,35
989897,734841,2018-04-03,House,"Acc Min Otp As Amended Rep RC #555",77,64,0,10,151
989897,740688,2018-04-18,Senate,"Reconsideration - Veto RC #651",21,14,0,0,35
989933,664765,2017-06-19,House,"Acc Min Ought Not To Pass Rep RC #345",75,73,0,3,151
989933,665454,2017-06-20,House,"Recede And Concur RC #354",73,75,0,3,151
989933,665455,2017-06-20,House,"Insist RC #355",75,73,0,3,151
989954,663199,2017-06-13,Senate,"Reconsideration - Veto RC #285",4,31,0,0,35
989970,646881,2017-05-18,Senate,"Reconsideration - Veto RC #146",29,6,0,0,35
989970,652909,2017-05-25,House,"Reconsideration - Veto RC #165",27,114,0,10,151
989988,656208,2017-05-31,House,"Reconsideration - Veto RC #183",73,66,0,12,151
991416,629265,2017-04-20,Senate,"Indefinitely Postpone RC #87",19,15,0,1,35
991451,660388,2017-06-08,Senate,"Adopt Sas-196 To Cah-255 RC #263",33,1,0,1,35
991482,656832,2017-05-31,Senate,"Veto Override (2/3) RC #195",34,0,0,1,35
991482,656833,2017-05-31,House,"Reconsideration - Veto RC #204",73,60,0,18,151
991575,645917,2017-05-17,House,"Acc Maj Otp As Amended Rep RC #117",79,63,0,9,151
991575,673423,2017-08-02,Senate,"Reconsideration - Veto RC #420",28,6,0,1,35
991575,673424,2017-08-02,House,"Reconsideration - Veto RC #460",76,58,0,17,151
991607,668355,2017-06-20,Senate,"Enactment RC #349",23,12,0,0,35
991607,673008,2017-07-20,Senate,"Veto Override (2/3) RC #402",18,13,0,4,35
992558,660261,2017-06-06,House,"Reconsideration - Veto RC #236",141,5,0,5,151
992558,661679,2017-06-08,Senate,"Veto Override (2/3) RC #265",34,0,0,1,35
992561,658293,2017-06-06,House,"Acc Maj Otp As Amended Rep RC #254",77,69,0,5,151
992561,661259,2017-06-08,Senate,"Accept Min Ontp Rpt RC #257",17,16,0,2,35
992561,734857,2018-04-03,House,"Acc Maj Otp As Amended Rep RC #557",77,65,0,9,151
992561,738250,2018-04-12,Senate,"Accept Maj Otp-a Rpt RC #616",22,13,0,0,35
992561,738251,2018-04-12,Senate,"Adopt Sbs-460 RC #617",18,17,0,0,35
992561,747974,2018-05-02,House,"Reconsideration - Veto RC #654",80,68,0,3,151
992588,667010,2017-06-19,House,"Reconsideration - Veto RC #338",84,63,0,4,151
992592,649233,2017-05-23,House,"Reconsideration - Veto RC #128",80,66,0,5,151
992600,661279,2017-06-07,Senate,"Accept Min Ontp Rpt RC #245",8,27,0,0,35
992600,661280,2017-06-08,House,"Acc Maj Otp As Amended Rep RC #272",88,57,0,6,151
992600,669187,2017-06-27,Senate,"Reconsideration - Veto RC #378",19,15,0,1,35
992633,651581,2017-05-25,Senate,"Insist RC #174",17,18,0,0,35
992633,655875,2017-05-30,House,"Final Passage RC #181",79,59,0,13,151
992633,672973,2017-07-20,Senate,"Final Passage RC #406",15,16,0,4,35
992685,655973,2017-06-01,House,"Acc Maj Otp As Amended Rep RC #212",85,55,0,11,151
992685,661254,2017-06-07,Senate,"Accept Min Ontp Rpt RC #251",17,18,0,0,35
992685,661692,2017-06-12,Senate,"Enactment RC #280",16,17,0,2,35
992685,664620,2017-06-16,Senate,"Enactment RC #323",20,15,0,0,35
993471,659426,2017-06-06,House,"Reconsideration - Veto RC #237",145,1,0,5,151
993471,659427,2017-06-07,Senate,"Reconsideration - Veto RC #239",35,0,0,0,35
993498,664599,2017-06-16,Senate,"Acceptance Of Report RC #326",21,14,0,0,35
993498,667282,2017-06-20,House,"Acc Ought To Pass As Amend Rep RC #360",85,60,0,6,151
993498,673395,2017-08-02,Senate,"Reconsideration - Veto RC #421",24,10,0,1,35
993498,673456,2017-08-02,House,"Reconsideration - Veto RC #461",81,54,0,16,151
993515,652146,2017-05-23,Senate,"Accept Min Ontp Rpt RC #156",19,15,0,1,35
993530,645199,2017-05-16,House,"Acc Maj Otp As Amended Rep RC #101",78,68,0,5,151
993624,667341,2017-06-19,House,"Acc Min Ought Not To Pass Rep RC #344",86,62,0,3,151
993656,660473,2017-06-06,House,"Reconsideration - Veto RC #241",91,55,0,5,151
993999,716871,2018-03-06,House,"Acc Maj Otp As Amended Rep RC #508",86,58,0,7,151
993999,766124,2018-06-20,Senate,"Enactment RC #687",24,9,0,2,35
993999,769820,2018-07-09,House,"Reconsideration - Veto RC #703",85,59,0,7,151
994123,655177,2017-05-31,House,"Acc Min Ought Not To Pass Rep RC #197",58,82,0,11,151
994123,661233,2017-06-07,Senate,"Accept Maj Otp-a Rpt RC #252",17,18,0,0,35
994148,657882,2017-06-05,House,"Acc Min Ought Not To Pass Rep RC #221",79,67,0,5,151
994148,661240,2017-06-06,Senate,"Accept Maj Otp-a Rpt RC #224",25,10,0,0,35
994247,661666,2017-06-12,Senate,"Enactment RC #281",27,6,0,2,35
994274,661248,2017-06-07,Senate,"Accept Min Ontp Rpt RC #249",5,30,0,0,35
994274,661249,2017-06-08,House,"Acc Maj Otp As Amended Rep RC #271",83,62,0,6,151
994274,673011,2017-07-20,House,"Enactment RC #434",82,51,0,18,151
994274,673408,2017-08-02,Senate,"Reconsideration - Veto RC #422",29,5,0,1,35
994274,673409,2017-08-02,House,"Reconsideration - Veto RC #462",101,34,0,16,151
994323,667302,2017-06-19,Senate,"Accept Min Ontp Rpt RC #338",18,17,0,0,35
994323,667303,2017-06-20,House,"Acc Maj Otp As Amended Rep RC #352",77,70,0,4,151
994323,731363,2018-03-29,Senate,"Recede And Concur RC #560",23,11,0,1,35
994323,766219,2018-06-20,Senate,"Enactment RC #683",22,9,0,4,35
994323,769884,2018-07-09,Senate,"Reconsideration - Veto RC #708",21,13,0,1,35
994605,658804,2017-06-05,Senate,"Accept Min Ontp Rpt RC #219",18,14,0,3,35
994677,668670,2017-06-22,House,"Reconsideration - Veto RC #380",79,65,0,7,151
996383,656297,2017-05-31,House,"Acc Maj Ought Not To Pass Rep RC #193",80,63,0,8,151
